Capacity(mAh),Config (s),Discharge (c),Height-B(mm),Length-A(mm),Max Charge Rate (C),Weight (g),Width-C(mm),description
2350.0,4.0,45.0,45.0,144.0,5.0,309.0,25.0,Polyquest XF 2350mAh 4S 45C - 90C Lipoly
3500.0,4.0,45.0,45.0,174.0,5.0,435.0,30.0,Volt On (POLYQUEST) 3500mAh 4S 45C - 90C Lipoly
5000.0,4.0,35.0,49.0,147.0,2.0,554.0,34.0,Turnigy 5000mAh 4S 35C Lipo Pack
5000.0,3.0,35.0,49.0,145.0,2.0,442.0,28.0,Turnigy 5000mAh 3S 35C Lipo Pack
3000.0,3.0,35.0,47.0,150.0,2.0,295.0,22.0,Turnigy 3000mAh 3S 35C Lipo Pack
3000.0,4.0,35.0,43.0,139.0,2.0,364.0,27.0,Turnigy 3000mAh 4S 35C Lipo Pack
3000.0,6.0,35.0,43.0,139.0,2.0,514.0,39.0,Turnigy 3000mAh 6S 35C Lipo Pack
2450.0,2.0,30.0,42.0,135.0,2.0,153.0,11.0,Turnigy 2450mAh 2S 30C Lipo Pack
2450.0,3.0,30.0,43.0,138.0,2.0,218.0,18.0,Turnigy 2450mAh 3S 30C Lipo Pack
2450.0,4.0,30.0,43.0,136.0,2.0,286.0,24.0,Turnigy 2450mAh 4S 30C Lipo Pack
2450.0,6.0,30.0,43.0,140.0,2.0,414.0,33.0,Turnigy 2450mAh 6S 30C Lipo Pack
2200.0,2.0,40.0,34.0,105.0,5.0,140.0,17.0,Turnigy 2200mAh 2S 40C Lipo Pack
2200.0,3.0,40.0,35.0,104.0,5.0,204.0,27.0,Turnigy 2200mAh 3S 40C Lipo Pack
2200.0,4.0,40.0,34.0,110.0,5.0,260.0,34.0,Turnigy 2200mAh 4S 40C Lipo Pack
2200.0,6.0,40.0,34.0,108.0,5.0,373.0,51.0,Turnigy 2200mAh 6S 40C Lipo Pack
4500.0,2.0,30.0,49.0,154.0,2.0,278.0,16.0,Turnigy 4500mAh 2S 30C Lipo Pack
4500.0,3.0,30.0,49.0,147.0,2.0,386.0,29.0,Turnigy 4500mAh 3S 30C Lipo Pack
4500.0,6.0,30.0,49.0,149.0,2.0,745.0,48.0,Turnigy 4500mAh 6S 30C Lipo Pack
5800.0,2.0,25.0,49.0,150.0,2.0,336.0,19.0,Turnigy 5800mAh 2S 25C Lipo Pack
5800.0,4.0,25.0,49.0,150.0,2.0,624.0,40.0,Turnigy 5800mAh 4S 25C Lipo Pack
5800.0,6.0,25.0,47.0,142.0,2.0,929.0,59.0,Turnigy 5800mAh 6S 25C Lipo Pack
1800.0,2.0,40.0,35.0,107.0,5.0,125.0,17.0,Turnigy 1800mAh 2S 40C Lipo Pack
1800.0,3.0,40.0,34.0,109.0,5.0,168.0,21.0,Turnigy 1800mAh 3S 40C Lipo Pack
1800.0,4.0,40.0,34.0,110.0,5.0,213.0,27.0,Turnigy 1800mAh 4S 40C Lipo Pack
1800.0,6.0,40.0,34.0,113.0,5.0,298.0,39.0,Turnigy 1800mAh 6S 40C Lipo Pack
2650.0,2.0,40.0,43.0,135.0,5.0,180.0,13.0,Turnigy 2650mAh 2S 40C Lipo Pack
2650.0,3.0,40.0,43.0,139.0,5.0,250.0,20.0,Turnigy 2650mAh 3S 40C Lipo Pack
2650.0,4.0,40.0,42.0,138.0,5.0,322.0,26.0,Turnigy 2650mAh 4S 40C Lipo Pack
2650.0,6.0,40.0,44.0,138.0,5.0,468.0,38.0,Turnigy 2650mAh 6S 40C Lipo Pack
3000.0,2.0,40.0,42.0,136.0,4.0,198.0,15.0,Turnigy 3000mAh 2S 40C Lipo Pack
3000.0,3.0,40.0,43.0,145.0,5.0,278.0,21.0,Turnigy 3000mAh 3S 40C Lipo Pack
3000.0,4.0,40.0,42.0,143.0,4.0,360.0,28.0,Turnigy 3000mAh 4S 40C Lipo Pack
3000.0,6.0,40.0,42.0,146.0,5.0,522.0,41.0,Turnigy 3000mAh 6S 40C Lipo Pack
4000.0,2.0,40.0,49.0,152.0,4.0,259.0,16.0,Turnigy 4000mAh 2S 40C Lipo Pack
4000.0,3.0,40.0,50.0,144.0,4.0,372.0,22.0,Turnigy 4000mAh 3S 40C Lipo Pack
4000.0,4.0,40.0,50.0,154.0,5.0,476.0,29.0,Turnigy 4000mAh 4S 40C Lipo Pack
4000.0,6.0,40.0,50.0,149.0,4.0,694.0,43.0,Turnigy 4000mAh 6S 40C Lipo Pack
5000.0,2.0,40.0,49.0,147.0,4.0,308.0,18.0,Turnigy 5000mAh 2S 40C Lipo Pack
5000.0,3.0,40.0,50.0,145.0,5.0,443.0,27.0,Turnigy 5000mAh 3S 40C Lipo Pack
5000.0,4.0,40.0,49.0,149.0,5.0,578.0,37.0,Turnigy 5000mAh 4S 40C Lipo Pack
5000.0,6.0,40.0,49.0,150.0,5.0,836.0,52.0,Turnigy 5000mAh 6S 40C Lipo Pack
2200.0,3.0,35.0,34.0,108.0,2.0,199.0,26.0,Turnigy 2200mAh 3S 35C Lipo Pack
2200.0,4.0,35.0,34.0,106.0,2.0,257.0,33.0,Turnigy 2200mAh 4S 35C Lipo Pack
